no,stage,x,y,z,tbxta,sox2,wnt8a,depdc7a
1,18ss,157.451,99.4913,89.1973,10.5256,28,4.74403,5.9297
1,18ss,159.862,105.632,88.6121,9.81352,38,6.1327,7.30105
1,18ss,163.835,111.241,88.3291,13.6966,33,4.70874,7.88873
1,18ss,179.882,115.461,84.0886,2.18769,26,1.58736,2.85509
1,18ss,173.132,112.583,83.3445,13.9703,31,6.56151,6.96271
1,18ss,179.571,95.8777,85.9709,3.05069,28,2.14374,3.37437
1,18ss,184.966,101.699,86.4227,1.17533,27,1.63695,3.21424
1,18ss,180.433,106.716,86.7869,2.59663,28,1.92746,3.26258
1,18ss,175.319,106.618,86.9676,9.44978,34,3.80879,6.49173
1,18ss,171.73,118.538,86.6946,13.6078,47,7.84916,5.52548
1,18ss,174.71,97.8937,87.7249,15.3696,31,6.8211,7.75456
1,18ss,171.41,112.695,87.9422,9.30592,33,5.10526,7.02878
1,18ss,84.5879,124.913,82.8378,10.1033,121,11.4122,2.67888
1,18ss,89.0348,128.478,83.6459,6.44202,68,6.54685,2.62808
1,18ss,83.9843,133.377,84.3008,2.32116,68,5.16156,2.77395
1,18ss,92.0596,133.785,83.5917,3.01651,62,6.88562,3.09834
1,18ss,80.2753,138.062,85.1897,1.84445,48,3.05027,2.73397
1,18ss,79.6882,127.059,85.633,2.59131,152,2.90898,2.55895
1,18ss,88.9573,131.385,86.0646,2.87764,66,3.61388,3.08002
1,18ss,92.6909,141.989,87.6324,1.63365,49,3.25566,2.82421
1,18ss,78.5843,134.5,88.4258,1.62578,77,2.42534,2.78694
1,18ss,85.0255,138.943,92.4655,1.48734,70,2.95368,2.75911
1,18ss,97.5437,130.759,83.4239,8.91553,63,5.02276,3.06554
1,18ss,114.262,131.998,84.8924,8.54827,49,4.85495,3.6322
1,18ss,120.882,108.587,82.0202,32.7001,83,17.4342,4.31447
1,18ss,134.85,118.853,82.4401,21.3376,37,11.866,6.92631
1,18ss,125.971,113.248,82.9712,25.5634,48,9.01082,7.8823
1,18ss,138.403,95.0976,83.397,20.4364,34,9.49172,10.2991
1,18ss,149.226,97.5869,77.4281,13.5845,32,5.46759,6.99255
1,18ss,159.508,98.276,77.2626,14.7391,37,9.33674,7.70388
1,18ss,149.57,119.307,80.9589,10.7437,36,5.40405,6.38794
1,18ss,154.337,101.175,79.6058,14.9821,37,11.4383,6.68244
1,18ss,151.386,112.976,79.9752,13.7191,33,10.5612,7.92665
1,18ss,160.968,115.532,79.814,17.6061,30,7.63169,8.92614
1,18ss,150.157,106.033,79.8537,8.6839,32,6.88833,4.83888
1,18ss,165.91,113.137,81.6845,18.5295,65,6.49739,11.1401
1,18ss,146.308,111.626,81.9108,8.83828,41,6.88063,6.22757
1,18ss,159.495,110.56,82.6507,10.8135,38,5.12191,7.11853
1,18ss,144.644,105.757,82.3375,8.01436,37,5.09899,4.92434
