no,stage,x,y,z,tbxta,sox2,sp5l,cdh6
1,18ss,141.808,143.137,38.1644,6.03775,174,8.85881,4.59835
1,18ss,143.839,147.735,38.55,6.29704,122,10.9197,5.407
1,18ss,138.916,147.249,41.8056,5.12826,178,8.21667,5.68607
1,18ss,145.227,143.185,42.7277,5.50959,74,7.0401,4.12082
1,18ss,146.044,152.047,44.8136,5.35786,67,7.36213,6.71861
1,18ss,134.954,144.715,44.88,8.14983,98,7.65396,6.02703
1,18ss,133.671,150.536,46.7653,4.79389,49,6.96982,3.62438
1,18ss,135.262,140.833,49.5228,17.5317,80,6.66038,5.85252
1,18ss,142.408,140.543,50.9729,5.89401,82,8.27871,4.50568
1,18ss,148.366,142.231,35.5888,7.10715,86,10.7867,6.6368
1,18ss,155.571,146.733,37.5255,8.54983,133,10.7938,11.46
1,18ss,158.364,150.805,36.6783,12.1001,147,8.83356,17.1569
1,18ss,152.666,141.788,37.9382,8.19033,129,11.0596,6.45964
1,18ss,157.708,142.024,38.2551,9.02181,116,9.1509,11.2243
1,18ss,154.79,151.859,43.3011,12.5614,55,8.79642,11.208
1,18ss,151.533,149.642,48.1481,7.21599,52,8.46696,5.38534
1,18ss,146.468,146.272,49.3566,6.90588,73,8.55783,5.52072
1,18ss,159.292,151.6,49.918,9.14753,78,4.43236,8.93009
1,18ss,153.941,139.817,50.6747,6.42157,37,7.24072,4.81051
1,18ss,166.685,147.868,34.5586,3.35125,49,2.02746,2.62522
1,18ss,161.071,139.181,38.1082,11.5026,82,9.21359,13.3206
1,18ss,164.411,142.703,39.6693,13.1388,97,7.61184,16.3798
1,18ss,168.159,140.643,41.2384,11.2239,70,5.10287,8.30437
1,18ss,162.002,147.619,41.6359,11.0375,128,8.02361,17.2902
1,18ss,171.498,148.937,41.2176,2.3923,35,1.42964,1.74341
1,18ss,163.846,145.282,47.2327,11.933,64,6.37888,24.9223
1,18ss,167.435,141.365,47.3123,13.8178,79,5.14324,10.3121
1,18ss,161.444,138.795,47.7663,13.4863,77,6.40244,11.1807
1,18ss,172.206,150.998,47.9093,1.95284,28,0.982126,1.37193
1,18ss,172.037,144.099,38.0802,2.7886,39,1.62084,1.95052
1,18ss,177.223,148.372,44.6384,2.00813,39,1.26917,1.63823
1,18ss,91.5362,155.601,44.1849,3.7651,93,2.53133,4.57362
1,18ss,91.2108,160.792,46.8129,4.53672,86,6.93186,6.31375
1,18ss,104.064,153.242,42.8935,4.44428,153,3.93283,5.46479
1,18ss,99.5117,155.747,42.6619,4.35178,107,3.93624,8.01246
1,18ss,95.5937,154.349,43.6218,4.02484,69,2.7265,6.89438
1,18ss,101.938,159.28,44.8212,4.62885,234,5.8808,6.45138
1,18ss,96.1659,158.172,46.9438,4.22163,98,4.51116,6.33853
1,18ss,102.95,165.063,47.8752,5.1688,220,7.70504,8.7708
1,18ss,106.827,155.422,49.714,4.03132,194,4.15075,4.81833
1,18ss,106.981,161.798,50.4136,4.12587,83,5.64986,5.99986
1,18ss,103.35,158.143,51.1138,4.37726,90,6.19079,6.01111
1,18ss,113.748,152.602,36.3957,5.21868,166,4.85095,6.82297
1,18ss,118.702,158.57,38.3714,5.36435,150,7.41034,6.73607
1,18ss,118.851,152.602,39.7797,5.43292,117,5.04151,8.18798
1,18ss,109.91,158.125,41.3024,5.26457,146,5.37322,6.16059
1,18ss,120.373,160.065,42.9786,6.23083,184,8.79896,7.08528
1,18ss,109.67,152.551,46.7435,4.43625,193,3.87851,5.37155
1,18ss,111.91,158.663,49.527,4.20992,109,6.36966,4.2444
1,18ss,113.561,164.323,49.2809,4.83258,140,8.16327,6.41495
1,18ss,113.076,153.576,49.8465,3.74521,138,3.94648,6.01949
1,18ss,128.2,159.96,37.0296,6.04556,102,10.468,8.07129
1,18ss,130.871,161.213,42.601,5.7182,98,10.628,7.83703
1,18ss,126.086,156.775,44.7291,4.7202,103,7.3137,5.49123
1,18ss,120.522,166.342,45.2738,4.9081,120,5.93981,10.4144
1,18ss,130.062,166.313,44.5114,6.26347,97,8.83852,10.4893
1,18ss,143.304,163.929,35.4799,10.5708,112,8.01733,16.5353
1,18ss,133.87,160.418,35.7322,5.77965,91,9.06433,10.2499
1,18ss,143.651,152.679,37.6885,5.99326,141,10.3747,6.44015
1,18ss,144.493,160.941,40.1835,12.0894,123,7.0858,15.3776
1,18ss,139.155,152.854,40.7258,7.09464,76,9.62396,6.44412
1,18ss,141.724,157.757,42.8582,7.51213,116,8.86524,11.0082
1,18ss,137.818,163.146,44.9527,8.54978,113,7.40226,10.7244
1,18ss,135.192,159.3,45.2748,5.00607,78,8.52231,8.16011
1,18ss,139.475,156.453,48.921,4.40322,82,5.92371,7.14337
1,18ss,144.188,155.804,50.0658,6.15276,64,7.27801,9.73503
1,18ss,151.051,163.963,37.3265,5.3144,64,2.84638,5.53753
1,18ss,150.306,157.805,40.648,15.2173,199,7.44802,13.5692
1,18ss,156.021,156.247,43.7617,12.3476,88,4.09988,18.8554
1,18ss,152.232,161.521,45.5698,14.0102,120,3.38868,16.0434
1,18ss,149.721,154.946,48.5202,8.30998,60,6.05618,9.88393
1,18ss,162.439,154.846,39.6304,3.39861,43,1.97146,3.14255
1,18ss,167.752,159.135,39.8204,2.56594,38,1.28752,1.75426
1,18ss,160.113,161.095,42.7164,2.51777,34,1.50863,2.17803
1,18ss,162.974,158.98,50.4082,1.95802,28,1.09885,1.45835
1,18ss,169.635,160.752,50.811,1.59365,34,0.860578,1.15795
1,18ss,96.3313,166.871,50.926,4.92696,89,7.25513,8.46867
1,18ss,113.003,168.435,46.1014,5.03653,99,6.6799,8.7525
