no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,108.872,115.926,-0.316386,2.13916,9.83562,3.56283,1.82347
1,18ss,112.549,111.16,2.47021,2.91575,10.1933,4.29166,1.53713
1,18ss,115.998,100.782,2.32471,2.63465,9.98759,3.73295,1.83175
1,18ss,117.352,116.516,3.33823,3.48079,10.2451,4.1492,2.39072
1,18ss,117.619,108.545,3.77869,2.49979,10.6535,4.10997,2.16488
1,18ss,137.323,97.6647,-2.07901,3.24714,8.46191,3.1936,2.6209
1,18ss,142.244,105.133,-1.62733,2.61249,9.1009,3.53396,3.04397
1,18ss,123.785,102.177,-2.33286,2.97058,8.13201,3.3081,2.88767
1,18ss,127.003,110.895,0.671028,3.02947,10.7302,3.59165,2.36989
1,18ss,121.128,105.277,1.65566,3.60017,10.6528,3.81423,2.73604
1,18ss,139.284,102.539,2.48879,3.41721,9.75706,3.86548,3.12154
1,18ss,133.438,102.787,2.52812,4.32761,9.74003,3.80928,3.03259
1,18ss,121.921,116.01,2.04585,5.46789,11.0395,3.84363,2.16348
1,18ss,131.365,115.346,2.32485,3.15464,11.2333,3.77879,2.72536
1,18ss,126.169,101.883,2.7761,2.74732,9.644,3.85655,4.47205
1,18ss,126.655,116.225,3.62543,3.27542,11.2202,3.76711,2.31491
1,18ss,137.708,110.485,3.91509,2.13551,10.0488,4.30967,3.12668
1,18ss,135.434,98.1457,3.38028,2.97308,9.48708,3.87601,2.90832
1,18ss,123.284,110.482,4.5175,3.66028,12.5313,3.5559,2.75762
1,18ss,148.188,103.96,-1.34561,4.44119,8.59775,3.22547,3.38726
1,18ss,168.937,112.527,-1.51317,1.67696,8.68821,4.11174,1.25258
1,18ss,159.918,118.468,-0.867306,1.71021,9.74607,5.52309,1.44355
1,18ss,155.018,97.8009,-1.32503,3.0356,8.08672,3.4628,3.35787
1,18ss,168.037,98.8003,0.288502,3.67695,8.95169,3.90635,6.11845
1,18ss,160.425,101.409,0.7182,2.65686,10.1497,3.63905,5.04005
1,18ss,145.146,99.8128,2.52711,2.96252,9.38712,3.53089,3.83138
1,18ss,163.457,105.657,1.7741,3.0462,14.7793,4.51084,2.99731
1,18ss,153.03,113.93,2.96052,2.27101,12.8214,4.99677,2.29185
1,18ss,145.773,111.146,2.41864,4.10478,11.85,3.74181,5.44602
1,18ss,151.989,106.722,3.32748,2.53041,10.9799,3.95191,3.0339
