no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,111.884,72.9064,236.509,28.6352,5.2357,20.0108
1,18ss,97.4459,85.4656,234.924,22.5422,4.32884,7.85069
1,18ss,102.979,87.7058,235.988,26.5689,4.54134,12.8583
1,18ss,108.627,86.4862,236.518,17.3738,4.4842,14.7197
1,18ss,100.902,92.5682,236.144,20.6266,4.2769,9.44897
1,18ss,111.293,96.5555,236.055,19.2732,4.62241,13.3987
1,18ss,110.158,82.3162,237.807,22.7226,4.34379,13.9608
1,18ss,115.836,93.8341,237.221,24.5648,5.23712,15.7017
1,18ss,106.301,95.4975,237.567,24.1854,4.11405,10.7186
1,18ss,99.0992,73.3568,239.325,18.3057,5.26746,6.0879
1,18ss,109.996,78.9673,238.443,19.9754,4.43771,12.4885
1,18ss,110.505,90.5838,238.645,22.916,4.64408,13.7624
1,18ss,116.77,83.2989,239.999,23.6355,4.28909,14.9798
1,18ss,119.62,78.0266,241.1,24.2111,4.06704,13.5518
1,18ss,106.11,75.2512,240.73,19.0943,4.11156,10.1749
1,18ss,100.922,90.7881,242.921,22.7419,3.63545,5.49721
1,18ss,119.855,95.499,242.744,17.9498,4.01662,8.78622
1,18ss,104.643,85.2096,241.933,18.7398,3.73796,6.85778
1,18ss,120.115,87.647,242.66,19.8336,4.30775,14.8982
1,18ss,118.393,92.1488,245.058,19.3959,3.7808,7.48531
1,18ss,100.89,79.6316,244.341,13.572,3.52317,5.69008
1,18ss,143.937,93.5009,235.504,29.0886,8.07543,8.75998
1,18ss,145.157,82.7176,236.485,37.2762,5.43458,11.0119
1,18ss,138.805,89.7664,237.386,31.356,7.00861,11.6546
1,18ss,136.01,79.1711,238.089,22.0224,4.73507,13.8794
1,18ss,138.342,83.8155,237.478,33.2191,6.23322,11.318
1,18ss,124.146,84.6156,238.965,24.7412,4.92353,16.1176
1,18ss,128.698,91.6709,239.934,35.7882,4.55307,11.7057
1,18ss,130.694,85.0967,240.459,19.5226,3.89831,10.6695
1,18ss,137.579,94.3206,240.485,21.5635,4.71434,6.87378
1,18ss,142.254,92.7803,243.051,18.4118,4.14697,6.12259
