,X,Y,Z
19727,85.8762,19.6085,34.0986
19786,72.5636,10.4924,36.4271
19830,90.4816,14.911,33.3622
19888,112.703,26.1552,30.9141
19946,129.672,27.5554,28.2428
20004,104.779,13.8333,30.6415
20064,135.227,23.1364,26.2642
20121,119.678,13.5672,29.2523
20179,81.4973,-9.23325,34.5518
20191,145.54,16.495,24.9626
20250,93.288,-11.5328,32.7208
20275,87.1364,-15.9087,33.8559
20335,131.469,6.49757,28.1422
20396,116.725,-1.38595,29.2388
20441,106.542,-15.6555,30.5232
20502,154.252,6.305,24.7821
20563,155.763,0.929106,23.1782
20622,163.278,2.03419,22.7073
20641,159.028,-4.72156,22.5221
20696,98.1047,-37.5541,31.6224
20757,166.15099999999995,-3.35486,21.7242
20817,162.28799999999995,-18.0712,22.233
20878,167.40599999999995,-16.3441,21.2528
20938,171.009,-21.335,21.3458
20963,173.363,-26.0353,20.1088
21009,181.71,-24.4919,19.9747
21052,178.007,-32.7709,20.6902
21095,174.12900000000005,-37.7472,20.6416
21154,183.874,-32.9098,18.8251
21179,180.961,-39.1676,19.719
21238,125.042,33.7271,31.5975
21296,120.691,18.1962,31.1116
21357,94.1249,0.123648,34.4198
21418,87.9232,-4.25451,35.7468
21474,148.769,25.4044,27.8058
21535,140.736,20.5144,28.8118
21594,113.366,2.91473,31.2055
21654,151.916,19.2718,27.4476
21711,161.463,15.1113,26.3042
21772,115.777,-10.507,31.6513
21776,138.498,-4.10423,27.6815
21836,170.122,9.04914,24.4604
21896,136.05,-11.6955,29.3216
21957,127.139,-16.7391,29.6311
22013,113.014,-24.8793,32.1483
22073,104.295,-35.1471,32.7601
22086,143.351,-17.8402,28.0115
22147,124.043,-29.1418,29.0606
22208,117.855,-38.5569,30.1546
22267,148.906,-24.9182,26.6794
22328,177.831,-20.1904,22.9098
22389,168.639,-39.1135,22.3028
22450,187.292,-38.785,20.1125
22475,92.8141,20.7362,37.234
22533,97.7905,19.3084,36.6767
22593,75.4184,6.11022,39.2917
22653,119.356,23.893,32.9889
22683,137.134,31.0214,32.0295
22719,126.546,9.54191,31.4898
22779,157.298,23.6341,27.9709
22840,102.828,-5.25626,34.9204
22893,110.272,-7.038989999999999,34.5034
22954,165.51,21.0315,27.4118
23000,155.46200000000005,15.9655,27.6905
23058,134.442,4.16547,31.791
23100,142.275,3.3266,30.0462
23159,96.4557,-24.4443,36.37300000000001
23217,163.937,11.3897,27.8271
23277,130.475,-8.867410000000003,31.5359
23337,106.011,-27.8409,33.5865
23396,178.77700000000004,3.92773,24.5997
23451,177.645,-10.708,24.4825
23484,175.12900000000005,-14.8086,24.9427
23544,160.328,-23.1615,26.8573
23602,155.762,-28.1543,27.0185
23663,183.867,-17.9729,24.3258
23724,158.63299999999995,-39.8614,26.3316
23785,185.008,-28.3759,22.2959
23834,188.509,-31.1456,22.1913
23881,194.701,-34.6327,21.0967
23927,117.562,35.5899,35.9649
23986,82.3285,16.1365,40.9159
24044,108.94,19.6063,37.0677
24105,131.767,31.0968,33.6155
24164,88.5185,8.28835,39.216
24220,107.495,13.3254,37.5264
24280,85.2308,1.59886,39.4707
24337,127.291,21.3082,33.8992
24395,99.4535,4.72769,38.1564
24456,104.432,6.03298,37.1566
24461,117.433,11.0349,35.2409
24522,91.46,-5.250380000000002,39.1564
24581,117.789,4.73005,35.2525
24642,126.536,-1.00016,34.4117
24688,147.59,5.97406,31.9617
24748,168.486,15.3566,27.7717
24805,114.259,-14.3483,35.9511
24865,101.828,-25.9727,36.6018
24926,176.747,13.383,27.7737
24972,121.678,-16.5649,34.6572
25033,149.363,-2.02405,30.0583
25094,147.61,-9.91702,30.7337
25141,152.72799999999995,-8.84003,30.4043
25201,131.44299999999998,-20.4168,32.2276
25245,137.05100000000002,-24.1862,32.3368
25306,185.894,-1.87466,26.1204
25367,179.951,-4.56481,25.4422
25413,123.514,-36.1785,33.3002
25474,142.898,-30.9169,31.7578
25534,158.071,-33.187,28.9981
25594,191.088,-25.5566,24.9113
25641,56.6188,1.51083,13.2024
25699,44.2062,-5.37739,15.2555
25755,37.7864,-24.7404,15.0481
25809,56.8315,-20.2281,13.6138
25821,52.0794,-42.3364,13.0769
25876,20.107,-13.9398,21.0633
25934,36.345,-6.21295,18.942
25952,41.9466,-14.4437,17.1291
26008,44.6138,-25.8642,16.019000000000002
26066,41.5521,-35.9886,17.5691
26126,77.346,-21.6904,11.8264
26187,69.0395,-36.365,12.1355
26245,47.4448,-49.1816,15.8389
26301,23.0644,-18.4506,22.5084
26311,34.9409,-17.17,20.4443
26365,31.7746,-34.3906,21.0462
26367,52.8615,-37.6647,17.8049
26424,47.2122,-41.4203,18.951
26429,48.4037,0.0656046,20.3644
26490,54.8803,2.97733,20.17
26545,39.6842,-14.4549,22.4359
26601,29.201,-23.434,23.7716
26638,56.3215,-10.823,18.7961
26682,50.1477,-14.5325,20.0005
26736,64.7947,-15.1738,18.7189
26792,37.1734,-38.9555,21.7773
26849,60.9799,-34.2689,17.4053
26905,60.0039,-39.2551,18.4633
26927,66.5604,-43.9596,17.3351
26985,62.0584,-49.2917,17.9006
27036,74.6087,-49.0683,16.2291
27063,27.8642,-12.2896,25.3638
27122,60.1234,-2.5845,20.4194
27179,42.2086,-25.8964,23.6365
27231,38.9962,-31.0605,23.1288
27291,69.2628,-52.8017,18.5826
27343,91.7053,-45.9831,15.1255
27354,84.6939,-50.9363,16.4602
27378,37.9936,-5.91672,26.7358
27430,20.5413,-15.3062,28.7449
27490,65.7627,-3.4983699999999995,21.9845
27546,46.6188,-18.34,24.5424
27603,64.5071,-19.4725,21.2517
27624,37.0998,-44.5289,24.5821
27685,46.0458,-42.9274,24.777
27741,56.6853,-48.605,23.131
27802,76.6228,-50.2232,19.9388
27859,52.4674,1.15679,27.2508
27866,65.1854,4.36295,24.2749
27926,69.185,1.98414,23.5547
27983,57.774,-8.493910000000001,24.9134
28040,34.4952,-23.6708,29.2412
28101,30.9856,-33.7651,28.401
28121,38.2474,-30.6895,28.1564
28172,60.4133,-23.845,24.6259
28230,50.8091,-29.8335,26.779
28254,54.0985,-39.8877,24.6791
28313,68.3857,-34.5164,22.308000000000003
28331,48.0285,-49.8518,25.4532
28335,62.9713,-43.1029,23.9537
28395,30.6086,-14.6801,30.8115
28454,39.5384,-11.4145,29.6853
28511,27.1397,-21.6746,31.9581
28567,51.2641,-11.1804,27.8021
28621,45.4215,-18.2694,28.7084
28673,75.0262,-3.3077400000000003,25.4555
28732,71.1597,-9.1985,24.9543
