gen,eval,o3d_fitness_mean,o3d_fitness_max,o3d_rmse_mean,o3d_rmse_min,o3d_mae_mean,o3d_mae_min
318,30,0.009,0.126,9000.252,2.229,9001.601,14.107
319,30,0.009,0.126,9000.252,2.229,9001.601,14.107
320,30,0.009,0.126,9000.252,2.229,9001.601,14.107
321,30,0.009,0.126,9000.252,2.229,9001.601,14.107
322,30,0.009,0.126,9000.252,2.229,9001.601,14.107
323,30,0.009,0.126,9000.252,2.229,9001.601,14.107
324,30,0.009,0.126,9000.252,2.229,9001.601,14.107
325,30,0.009,0.126,9000.252,2.229,9001.601,14.107
326,30,0.009,0.126,9000.252,2.229,9001.601,14.107
327,30,0.009,0.126,9000.252,2.229,9001.601,14.107
328,30,0.009,0.126,9000.252,2.229,9001.601,14.107
329,30,0.009,0.126,9000.252,2.229,9001.601,14.107
330,30,0.009,0.126,9000.252,2.229,9001.601,14.107
331,30,0.009,0.126,9000.252,2.229,9001.601,14.107
332,30,0.009,0.126,9000.252,2.229,9001.601,14.107
333,30,0.009,0.126,9000.252,2.229,9001.601,14.107
334,30,0.009,0.126,9000.252,2.229,9001.601,14.107
335,30,0.009,0.126,9000.252,2.229,9001.601,14.107
336,30,0.009,0.126,9000.252,2.229,9001.601,14.107
337,30,0.009,0.126,9000.252,2.229,9001.601,14.107
338,30,0.009,0.126,9000.252,2.229,9001.601,14.107
339,30,0.009,0.126,9000.252,2.229,9001.601,14.107
340,30,0.009,0.126,9000.252,2.229,9001.601,14.107
341,30,0.009,0.126,9000.252,2.229,9001.601,14.107
342,30,0.009,0.126,9000.252,2.229,9001.601,14.107
343,30,0.009,0.126,9000.252,2.229,9001.601,14.107
344,30,0.009,0.126,9000.252,2.229,9001.601,14.107
345,30,0.009,0.126,9000.252,2.229,9001.601,14.107
346,30,0.009,0.126,9000.252,2.229,9001.601,14.107
347,30,0.009,0.126,9000.252,2.229,9001.601,14.107
348,30,0.009,0.126,9000.252,2.229,9001.601,14.107
349,30,0.009,0.126,9000.252,2.229,9001.601,14.107
350,30,0.009,0.126,9000.252,2.229,9001.601,14.107
351,30,0.009,0.126,9000.252,2.229,9001.601,14.107
352,30,0.009,0.126,9000.252,2.229,9001.601,14.107
353,30,0.009,0.126,9000.252,2.229,9001.601,14.107
354,30,0.009,0.126,9000.252,2.229,9001.601,14.107
355,30,0.009,0.126,9000.252,2.229,9001.601,14.107
356,30,0.009,0.126,9000.252,2.229,9001.601,14.107
357,30,0.009,0.126,9000.252,2.229,9001.601,14.107
358,30,0.009,0.126,9000.252,2.229,9001.601,14.107
359,30,0.009,0.126,9000.252,2.229,9001.601,14.107
360,30,0.009,0.126,9000.252,2.229,9001.601,14.107
361,30,0.009,0.126,9000.252,2.229,9001.601,14.107
362,30,0.009,0.126,9000.252,2.229,9001.601,14.107
363,30,0.009,0.126,9000.252,2.229,9001.601,14.107
364,30,0.009,0.126,9000.252,2.229,9001.601,14.107
365,30,0.009,0.126,9000.252,2.229,9001.601,14.107
366,30,0.009,0.126,9000.252,2.229,9001.601,14.107
367,30,0.009,0.126,9000.252,2.229,9001.601,14.107
368,30,0.009,0.126,9000.252,2.229,9001.601,14.107
369,30,0.009,0.126,9000.252,2.229,9001.601,14.107
370,30,0.009,0.126,9000.252,2.229,9001.601,14.107
371,30,0.009,0.126,9000.252,2.229,9001.601,14.107
372,30,0.009,0.126,9000.252,2.229,9001.601,14.107
373,30,0.009,0.126,9000.252,2.229,9001.601,14.107
374,30,0.009,0.126,9000.252,2.229,9001.601,14.107
375,30,0.009,0.126,9000.252,2.229,9001.601,14.107
376,30,0.009,0.126,9000.252,2.229,9001.601,14.107
377,30,0.009,0.126,9000.252,2.229,9001.601,14.107
378,30,0.009,0.126,9000.252,2.229,9001.601,14.107
379,30,0.009,0.126,9000.252,2.229,9001.601,14.107
380,30,0.009,0.126,9000.252,2.229,9001.601,14.107
381,30,0.009,0.126,9000.252,2.229,9001.601,14.107
382,30,0.009,0.126,9000.252,2.229,9001.601,14.107
383,30,0.009,0.126,9000.252,2.229,9001.601,14.107
384,30,0.009,0.126,9000.252,2.229,9001.601,14.107
385,30,0.009,0.126,9000.252,2.229,9001.601,14.107
386,30,0.009,0.126,9000.252,2.229,9001.601,14.107
387,30,0.009,0.126,9000.252,2.229,9001.601,14.107
388,30,0.009,0.126,9000.252,2.229,9001.601,14.107
389,30,0.009,0.126,9000.252,2.229,9001.601,14.107
390,30,0.009,0.126,9000.252,2.229,9001.601,14.107
391,30,0.009,0.126,9000.252,2.229,9001.601,14.107
392,30,0.009,0.126,9000.252,2.229,9001.601,14.107
393,30,0.009,0.126,9000.252,2.229,9001.601,14.107
394,30,0.009,0.126,9000.252,2.229,9001.601,14.107
395,30,0.009,0.126,9000.252,2.229,9001.601,14.107
396,30,0.009,0.126,9000.252,2.229,9001.601,14.107
397,30,0.009,0.126,9000.252,2.229,9001.601,14.107
398,30,0.009,0.126,9000.252,2.229,9001.601,14.107
399,30,0.009,0.126,9000.252,2.229,9001.601,14.107
400,30,0.009,0.126,9000.252,2.229,9001.601,14.107
401,30,0.009,0.126,9000.252,2.229,9001.601,14.107
402,30,0.009,0.126,9000.252,2.229,9001.601,14.107
403,30,0.009,0.126,9000.252,2.229,9001.601,14.107
404,30,0.009,0.126,9000.252,2.229,9001.601,14.107
405,30,0.009,0.126,9000.252,2.229,9001.601,14.107
406,30,0.009,0.126,9000.252,2.229,9001.601,14.107
407,30,0.009,0.126,9000.252,2.229,9001.601,14.107
408,30,0.009,0.126,9000.252,2.229,9001.601,14.107
409,30,0.009,0.126,9000.252,2.229,9001.601,14.107
410,30,0.009,0.126,9000.252,2.229,9001.601,14.107
411,30,0.009,0.126,9000.252,2.229,9001.601,14.107
412,30,0.009,0.126,9000.252,2.229,9001.601,14.107
413,30,0.009,0.126,9000.252,2.229,9001.601,14.107
414,30,0.009,0.126,9000.252,2.229,9001.601,14.107
415,30,0.009,0.126,9000.252,2.229,9001.601,14.107
416,30,0.009,0.126,9000.252,2.229,9001.601,14.107
417,30,0.009,0.126,9000.252,2.229,9001.601,14.107
418,30,0.009,0.126,9000.252,2.229,9001.601,14.107
419,30,0.009,0.126,9000.252,2.229,9001.601,14.107
420,30,0.009,0.126,9000.252,2.229,9001.601,14.107
421,30,0.009,0.126,9000.252,2.229,9001.601,14.107
422,30,0.009,0.126,9000.252,2.229,9001.601,14.107
423,30,0.009,0.126,9000.252,2.229,9001.601,14.107
424,30,0.009,0.126,9000.252,2.229,9001.601,14.107
425,30,0.009,0.126,9000.252,2.229,9001.601,14.107
426,30,0.009,0.126,9000.252,2.229,9001.601,14.107
427,30,0.014,0.148,8666.994,2.229,8668.617,10.498
428,30,0.014,0.148,8666.994,2.229,8668.617,10.498
429,30,0.014,0.148,8666.994,2.229,8668.617,10.498
430,30,0.014,0.148,8666.994,2.229,8668.617,10.498
431,30,0.014,0.148,8666.994,2.229,8668.617,10.498
432,30,0.014,0.148,8666.994,2.229,8668.617,10.498
433,30,0.014,0.148,8666.994,2.229,8668.617,10.498
434,30,0.014,0.148,8666.994,2.229,8668.617,10.498
435,30,0.014,0.148,8666.994,2.229,8668.617,10.498
436,30,0.014,0.148,8666.994,2.229,8668.617,10.498
437,30,0.014,0.148,8666.994,2.229,8668.617,10.498
438,30,0.014,0.148,8666.994,2.229,8668.617,10.498
439,30,0.014,0.148,8666.994,2.229,8668.617,10.498
440,30,0.014,0.148,8666.994,2.229,8668.617,10.498
441,30,0.014,0.148,8666.994,2.229,8668.617,10.498
